*** Test Cases ***,${title},${first_name},${last_name},${gender},${year},${month},${day},${mobile_code},${mobile},${email},${address},${state},${suburb},${postal},${ec_name},${ec_gender},${ec_mobile_code},${ec_mobile},${expected_message}
TC1 - Validate Title is Mandatory,Select,,,,,,,,,,,,,,,,,,Please select a title.
TC2 - Validate First Name is Mandatory,Ms,,,,,,,,,,,,,,,,,,Please enter a first name.
TC3 - Validate First Name Accepts Only Alphabets,,shrika123,,,,,,,,,,,,,,,,,First name allows alphabets only.
TC4 - Validate Last Name is Mandatory,,kajol,,,,,,,,,,,,,,,,,Please enter a last name.
TC5 - Validate Last Name Accepts Only Alphabets,,,kumari123,,,,,,,,,,,,,,,,Last name allows alphabets only.
TC6 - Validate Gender Selection is Mandatory,,,verma,,,,,,,,,,,,,,,,Please select a gender.
TC7 - Validate Date of Birth is Mandatory,,,,Female,,,,,,,,,,,,,,,Please enter a date of birth.
TC8 - Validate Mobile Number is Mandatory,,,,,1998,May,26,,,,,,,,,,,,Please enter a mobile number.
TC9 - Validate Invalid Mobile Number Format,,,,,,,,IN,9840601po#y,,,,,,,,,,Please enter a valid mobile number.
TC10 - Validate Email Id is Mandatory,,,,,,,,IN,9405869485,,,,,,,,,,Please enter an email address.
TC11 - Validate Address is Mandatory,,,,,,,,,,kajol121@gmail.com,,,,,,,,,Please enter an address.
TC12 - Validate State is Mandatory,,,,,,,,,,,26 CCA FAITH ST,,,,,,,,Please select a state.
TC13 - Validate Suburb is Mandatory,,,,,,,,,,,,New South Wales,,,,,,,Please enter a suburb.
TC14 - Validate Postal Code is Mandatory,,,,,,,,,,,,,'PARRAMATTA,,,,,,Please enter a postal code.
TC15 - Validate Emergency Contact Name is Mandatory,,,,,,,,,,,,,,2150,,,,,Please enter a emergency contact person name.
TC16 - Validate Emergency Contact Gender is Mandatory,,,,,,,,,,,,,,,sandhya,,,,Please select a gender.
TC17 - Validate Emergency Contact Mobile Number is Mandatory,,,,,,,,,,,,,,,,Female,,,Please enter a emergency contact mobile number.
TC19 - Validate Invalid Emergency Contact Mobile Number,,,,,,,,,,,,,,,,,IN,98496750951,Please enter a valid emergency contact mobile number.
TC20- Validate Successful Patient Registration,,,,,,,,,,,,,,,,,IN,9992060601,Patient registered successfully
